,participant,task,trial,choice,reward,RT,expected_reward0,expected_reward1,forced_choice,horizon
156,0,21,1,1,72.0,0.285138,80,60,True,10
157,0,21,2,0,83.0,0.329399,80,60,True,10
158,0,21,3,1,64.0,0.442515,80,60,True,10
159,0,21,4,0,68.0,1.710346,80,60,False,10
160,0,21,5,1,66.0,0.310588,80,60,False,10
161,0,21,6,0,69.0,0.158736,80,60,False,10
162,0,21,7,0,76.0,0.214516,80,60,False,10
163,0,21,8,0,90.0,0.122098,80,60,False,10
164,0,21,9,0,87.0,0.082129,80,60,False,10
165,0,22,0,0,47.0,0.459714,40,60,True,5
166,0,22,1,1,65.0,0.358929,40,60,True,5
167,0,22,2,0,41.0,0.694902,40,60,True,5
168,0,22,3,0,36.0,0.641866,40,60,True,5
169,0,22,4,1,53.0,0.350996,40,60,False,5
170,0,23,0,0,17.0,0.35646,10,40,True,10
171,0,23,1,1,37.0,0.286484,10,40,True,10
172,0,23,2,1,31.0,0.295533,10,40,True,10
173,0,23,3,0,19.0,0.362326,10,40,True,10
174,0,23,4,1,24.0,1.634293,10,40,False,10
175,0,23,5,1,56.0,1.094373,10,40,False,10
176,0,23,6,1,31.0,0.382945,10,40,False,10
177,0,23,7,1,34.0,1.773635,10,40,False,10
178,0,23,8,1,50.0,0.084719,10,40,False,10
179,0,23,9,1,48.0,0.116684,10,40,False,10
180,0,24,0,1,37.0,0.349824,10,40,True,10
181,0,24,1,0,14.0,0.349873,10,40,True,10
182,0,24,2,1,53.0,0.278715,10,40,True,10
183,0,24,3,1,45.0,0.265096,10,40,True,10
184,0,24,4,1,38.0,1.652558,10,40,False,10
185,0,24,5,1,56.0,0.464572,10,40,False,10
186,0,24,6,0,3.0,0.347732,10,40,False,10
187,0,24,7,1,49.0,0.115607,10,40,False,10
188,0,24,8,1,47.0,0.051205,10,40,False,10
189,0,24,9,1,38.0,0.001074,10,40,False,10
190,0,25,0,0,56.0,0.442688,60,80,True,5
191,0,25,1,1,81.0,0.351922,60,80,True,5
192,0,25,2,0,63.0,0.351946,60,80,True,5
193,0,25,3,1,69.0,0.977502,60,80,True,5
194,0,25,4,1,86.0,0.541399,60,80,False,5
195,0,26,0,0,73.0,0.44456,60,64,True,5
196,0,26,1,0,63.0,0.321942,60,64,True,5
197,0,26,2,1,52.0,0.297243,60,64,True,5
198,0,26,3,1,60.0,0.33221,60,64,True,5
199,0,26,4,0,64.0,0.812256,60,64,False,5
200,0,27,0,0,45.0,0.39321,60,80,True,5
201,0,27,1,1,66.0,0.320468,60,80,True,5
202,0,27,2,0,74.0,0.336813,60,80,True,5
203,0,27,3,1,89.0,0.465131,60,80,True,5
204,0,27,4,1,80.0,1.580633,60,80,False,5
205,0,28,0,0,43.0,0.411727,48,60,True,10
206,0,28,1,1,67.0,0.241177,48,60,True,10
207,0,28,2,0,51.0,0.328151,48,60,True,10
208,0,28,3,0,49.0,0.647366,48,60,True,10
209,0,28,4,1,52.0,2.74536,48,60,False,10
210,0,28,5,1,53.0,0.777484,48,60,False,10
211,0,28,6,0,54.0,0.792604,48,60,False,10
212,0,28,7,1,70.0,0.221838,48,60,False,10
213,0,28,8,1,60.0,0.05875,48,60,False,10
214,0,28,9,1,58.0,0.001089,48,60,False,10
215,0,29,0,1,62.0,0.337221,30,60,True,10
216,0,29,1,0,18.0,0.362979,30,60,True,10
217,0,29,2,0,22.0,0.34673,30,60,True,10
218,0,29,3,1,66.0,0.313769,30,60,True,10
219,0,29,4,1,52.0,1.579292,30,60,False,10
220,0,29,5,1,67.0,0.377066,30,60,False,10
221,0,29,6,1,60.0,0.127984,30,60,False,10
222,0,29,7,1,67.0,0.136174,30,60,False,10
223,0,29,8,1,62.0,0.079387,30,60,False,10
224,0,29,9,1,53.0,0.114098,30,60,False,10
225,0,30,0,1,66.0,0.368963,72,60,True,5
226,0,30,1,1,48.0,0.312744,72,60,True,5
227,0,30,2,0,74.0,0.390442,72,60,True,5
228,0,30,3,0,72.0,0.368618,72,60,True,5
229,0,30,4,0,73.0,0.935439,72,60,False,5
230,0,31,0,1,37.0,0.439194,20,40,True,5
231,0,31,1,0,20.0,0.307188,20,40,True,5
232,0,31,2,0,10.0,0.376772,20,40,True,5
233,0,31,3,0,16.0,0.366822,20,40,True,5
234,0,31,4,1,38.0,0.837209,20,40,False,5
235,0,32,0,1,37.0,0.298069,40,36,True,5
236,0,32,1,0,29.0,0.356529,40,36,True,5
237,0,32,2,1,37.0,0.32455,40,36,True,5
238,0,32,3,1,41.0,0.388037,40,36,True,5
239,0,32,4,1,38.0,1.138829,40,36,False,5
