,sub,prolific_id,elic,p1,p2,rtime,out,cfout,cho,corr,10,trial,cond,cont1,cont2,15,16,17,rew,sess,op1,op2,ev1,ev2,catch,25,26,dist,plot,dbtime
10550,3884054825.0,,-1.0,0.9,0.1,544.0,1.0,1.0,2.0,0.0,0.0,8.0,0.0,-1.0,-1.0,5.0,2.0,-1.0,0.0,-1.0,2.0,5.0,0.8,-0.8,-1.0,1.0,126748.0,0.0,0.0,
10551,6535203292.0,,-1.0,0.6,0.4,661.0,1.0,-1.0,1.0,1.0,0.0,9.0,3.0,-1.0,-1.0,2.0,4.0,1.0,0.0,-1.0,4.0,2.0,0.2,-0.2,-1.0,1.0,123471.0,0.0,0.0,
10552,2112416812.0,,-1.0,0.7,0.3,499.0,1.0,1.0,2.0,0.0,0.0,10.0,2.0,-1.0,-1.0,5.0,8.0,-1.0,0.0,-1.0,8.0,5.0,0.4,-0.4,-1.0,1.0,133781.0,0.0,0.0,
10553,5716272819.0,,0.0,0.6,0.1,1069.0,-1.0,-1.0,2.0,0.0,1.0,1.0,-1.0,6.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.2,-0.8,0.0,1.0,220836.0,-1.0,0.0,
10554,1417038595.0,,0.0,0.3,0.7,1756.0,-1.0,-1.0,2.0,1.0,1.0,92.0,-1.0,3.0,7.0,-1.0,-1.0,-1.0,49.0,0.0,-1.0,-1.0,-0.4,0.4,0.0,1.0,2059085.0,-1.0,0.0,
10555,2656619196.0,,0.0,0.9,0.1,1126.0,-1.0,-1.0,1.0,1.0,1.0,4.0,-1.0,9.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.8,-0.8,1.0,1.0,161715.0,-1.0,0.0,
10556,6017802110.0,,0.0,0.3,0.2,5768.0,-1.0,-1.0,1.0,1.0,1.0,14.0,-1.0,3.0,2.0,-1.0,-1.0,-1.0,43.0,0.0,-1.0,-1.0,-0.4,-0.6,0.0,0.0,1303228.0,-1.0,0.0,
10557,1735261667.0,,2.0,0.6,0.0,4966.0,-1.0,-1.0,60.0,1.0,1.0,8.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,85.0,0.0,-1.0,-1.0,0.2,-1.0,1.0,0.0,1492617.0,0.0,0.91,
10558,4654212483.0,,0.0,0.3,0.1,718.0,-1.0,-1.0,1.0,1.0,1.0,65.0,-1.0,3.0,1.0,-1.0,-1.0,-1.0,52.0,0.0,-1.0,-1.0,-0.4,-0.8,0.0,0.0,1374372.0,-1.0,0.0,
10559,2629781690.0,,0.0,0.7,0.3,1482.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,7.0,3.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.4,-0.4,0.0,1.0,190252.0,-1.0,0.0,
10560,3884054825.0,,-1.0,0.8,0.2,772.0,1.0,1.0,1.0,1.0,0.0,9.0,1.0,-1.0,-1.0,8.0,1.0,-1.0,0.0,-1.0,8.0,1.0,0.6,-0.6,-1.0,0.0,129815.0,0.0,0.0,
10561,1193652505.0,,-1.0,0.9,0.1,2109.0,1.0,1.0,1.0,1.0,1.0,81.0,0.0,9.0,1.0,2.0,14.0,1.0,44.0,0.0,14.0,2.0,0.8,-0.8,-1.0,1.0,1755508.0,0.0,0.0,
10562,6535203292.0,,-1.0,0.6,0.4,716.0,-1.0,-1.0,1.0,1.0,0.0,10.0,3.0,-1.0,-1.0,4.0,2.0,-1.0,0.0,-1.0,4.0,2.0,0.2,-0.2,-1.0,0.0,126669.0,0.0,0.0,
10563,2112416812.0,,-1.0,0.7,0.3,710.0,-1.0,1.0,2.0,0.0,0.0,11.0,2.0,-1.0,-1.0,5.0,8.0,-1.0,0.0,-1.0,8.0,5.0,0.4,-0.4,-1.0,1.0,136802.0,0.0,0.0,
10564,159914671.0,,-1.0,0.9,0.1,3060.0,-1.0,1.0,2.0,0.0,0.0,10.0,0.0,-1.0,-1.0,2.0,5.0,-1.0,0.0,-1.0,5.0,2.0,0.8,-0.8,-1.0,1.0,114604.0,0.0,0.0,
10565,5716272819.0,,0.0,0.6,0.3,1180.0,1.0,-1.0,1.0,1.0,1.0,2.0,-1.0,6.0,3.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.2,-0.4,0.0,0.0,224410.0,-1.0,0.0,
10566,6017802110.0,,0.0,0.3,0.5,793.0,1.0,1.0,2.0,1.0,1.0,15.0,-1.0,3.0,5.0,-1.0,-1.0,1.0,44.0,0.0,-1.0,-1.0,-0.4,0.0,0.0,0.0,1311499.0,-1.0,0.0,
10567,2656619196.0,,0.0,0.2,0.3,1368.0,-1.0,1.0,1.0,0.0,1.0,5.0,-1.0,2.0,3.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-0.6,-0.4,0.0,1.0,165346.0,-1.0,0.0,
